Word,Guess,Actual,Predicted,Game-Status,word-length
ADMINISTRATION,ADMINISTRATION,1,1,correct,14
HERITAGE,HERITAGE,1,1,correct,8
ULTRA,ULTRA,1,1,correct,5
TASTE,TASTE,1,1,correct,5
GRADUATE,*RA**ATE,1,0,incomplete,8
TESTED,TESTE*,1,0,incomplete,6
LIMITS,*I*ITS,1,0,incomplete,6
STUCK,STU**,1,0,incomplete,5
CZECH,**E**,1,0,incomplete,5
PAVILION,*A*ILION,1,0,incomplete,8
NEBRASKA,NE*RAS*A,1,0,incomplete,8
CONFLICT,CON*LICT,1,0,incomplete,8
FORUMS,*ORU*S,1,0,incomplete,6
CONFLICTS,CONFLICTS,1,1,correct,9
TOURING,TOURING,1,1,correct,7
COLLAPSE,COLLAPSE,1,1,correct,8
RELATIONSHIP,RELATIONSHIP,1,1,correct,12
ACCORDINGLY,ACCORDINGLY,1,1,correct,11
ASPECTS,ASPECTS,1,1,correct,7
LATEX,LATE*,1,0,incomplete,5
DUPLICATE,DUPLICATE,1,1,correct,9
LICENSED,LICENSED,1,1,correct,8
PHRASE,PHRASE,1,1,correct,6
GENERATORS,*ENERATORS,1,0,incomplete,10
RATED,RATED,1,1,correct,5
HAITI,HAITI,1,1,correct,5
PROPOSE,PROPOSE,1,1,correct,7
SURFACE,S*R*A*E,1,0,incomplete,7
CANVAS,*AN*AS,1,0,incomplete,6
SHOCK,SHOCK,1,1,correct,5
FIXED,***E*,1,0,incomplete,5
SENATORS,SENATORS,1,1,correct,8
FACIAL,*A*IAL,1,0,incomplete,6
DEPARTURE,*E*ART*RE,1,0,incomplete,9
OVERCOME,O*ER*O*E,1,0,incomplete,8
EFFORT,EFFORT,1,1,correct,6
GENRES,*E*RES,1,0,incomplete,6
CROSSWORD,CROSS*OR*,1,0,incomplete,9
ENTERTAINMENT,ENTERTAINMENT,1,1,correct,13
SUPPOSED,S*PPOSED,1,0,incomplete,8
CYCLING,CYCLING,1,1,correct,7
LIKED,LIKED,1,1,correct,5
CUMSHOTS,CUMSHOTS,1,1,correct,8
SUSAN,S*SAN,1,0,incomplete,5
STEADY,STEADY,1,1,correct,6
MEASUREMENTS,*EAS*RE*ENTS,1,0,incomplete,12
AWARENESS,A*ARENESS,1,0,incomplete,9
PEACEFUL,*EA*E**L,1,0,incomplete,8
BOXED,***E*,1,0,incomplete,5
SPARC,SPARC,1,1,correct,5
THATS,THATS,1,1,correct,5
HOSPITALITY,HOSPITALITY,1,1,correct,11
SOLDIER,SOLDIER,1,1,correct,7
PLATE,PLATE,1,1,correct,5
LINES,LINES,1,1,correct,5
SPECIALIST,S*ECIA*IST,1,0,incomplete,10
COMMONWEALTH,COMMONWEALTH,1,1,correct,12
COLLECTED,CO**ECTED,1,0,incomplete,9
THOMSON,T*OMSON,1,0,incomplete,7
LANES,LANES,1,1,correct,5
SPEECHES,S*EE**ES,1,0,incomplete,8
SEEKS,SEE*S,1,0,incomplete,5
INSIDE,INSIDE,1,1,correct,6
ARMENIA,ARMENIA,1,1,correct,7
WIDTH,*****,1,0,incomplete,5
STRIKING,STRIKING,1,1,correct,8
MATING,MATING,1,1,correct,6
CLASSES,*LASSES,1,0,incomplete,7
MINUS,*IN*S,1,0,incomplete,5
ALLOWING,ALLOWING,1,1,correct,8
OUTSOURCING,OUTSOURCING,1,1,correct,11
EARNED,EARNED,1,1,correct,6
FIRED,FIRED,1,1,correct,5
PORTION,*ORTION,1,0,incomplete,7
HIKING,*I*ING,1,0,incomplete,6
JOURNALISM,JOURNALISM,1,1,correct,10
SYNDROME,SYNDROME,1,1,correct,8
MAIDEN,MAIDEN,1,1,correct,6
PARISH,PARISH,1,1,correct,6
AIRLINE,AIRLINE,1,1,correct,7
VALVE,*AL*E,1,0,incomplete,5
FAMILY,*A*IL*,1,0,incomplete,6
TEMPLE,TE**LE,1,0,incomplete,6
OPTIMIZATION,OPTIMIZATION,1,1,correct,12
ACQUIRE,AC**IRE,1,0,incomplete,7
FOSTER,FOSTER,1,1,correct,6
POLICY,***I**,1,0,incomplete,6
SPOKEN,SPOKEN,1,1,correct,6
ETHICAL,ETH*CA*,1,0,incomplete,7
ANTIGUA,ANTIG*A,1,0,incomplete,7
CHILE,**ILE,1,0,incomplete,5
REBECCA,RE*E**A,1,0,incomplete,7
OTHER,OT*ER,1,0,incomplete,5
CONCENTRATIONS,CONCENTRATIONS,1,1,correct,14
REDUCED,RE***E*,1,0,incomplete,7
REBATE,RE*ATE,1,0,incomplete,6
EMILY,E*IL*,1,0,incomplete,5
FIBRE,*I*RE,1,0,incomplete,5
NAVIGATION,NA*I*ATION,1,0,incomplete,10
MADRID,*ADR*D,1,0,incomplete,6
WRAPPED,*RA**ED,1,0,incomplete,7
CRUCIAL,CRUCIAL,1,1,correct,7
SISTERS,SISTERS,1,1,correct,7
GOSPEL,*OS*EL,1,0,incomplete,6
COMMANDS,CO**AN*S,1,0,incomplete,8
CLEVELAND,CLEVELAND,1,1,correct,9
BOATS,**ATS,1,0,incomplete,5
CARRIERS,CARRIERS,1,1,correct,8
TENNESSEE,TENNESSEE,1,1,correct,9
LONGER,LONGER,1,1,correct,6
LEAST,LEAST,1,1,correct,5
PENGUIN,*ENG*IN,1,0,incomplete,7
TOTALLY,T*TA***,1,0,incomplete,7
BREACH,*REACH,1,0,incomplete,6
DEFAULT,*E*A*LT,1,0,incomplete,7
ATTEMPTS,ATTEMPTS,1,1,correct,8
ORGANIZATIONAL,OR*ANI*ATIONA*,1,0,incomplete,14
REPRESENTING,REPRESENTIN*,1,0,incomplete,12
COLUMN,******,1,0,incomplete,6
BRUNETTE,*R*NETTE,1,0,incomplete,8
MERCEDES,*ERCE*ES,1,0,incomplete,8
ORDINARY,OR*INAR*,1,0,incomplete,8
CARDIOVASCULAR,CARDIOVASCULAR,1,1,correct,14
INNER,I**ER,1,0,incomplete,5
INNOVATION,INNO*ATION,1,0,incomplete,10
TAUGHT,TA***T,1,0,incomplete,6
TOURNAMENTS,TOURNAMENTS,1,1,correct,11
OBJECTIVE,O**ECTI*E,1,0,incomplete,9
BREATHING,BREATHING,1,1,correct,9
REACHING,REACHING,1,1,correct,8
GUEST,**EST,1,0,incomplete,5
BANDS,*ANDS,1,0,incomplete,5
REFLECTION,REFLECTION,1,1,correct,10
BOLIVIA,**LI*IA,1,0,incomplete,7
SHIPPING,S*IPPING,1,0,incomplete,8
DEVIANT,DEVIANT,1,1,correct,7
SHORTCUTS,S*ORTCUTS,1,0,incomplete,9
BREED,BREED,1,1,correct,5
MATCHED,MATCHED,1,1,correct,7
KNIGHT,KNIGHT,1,1,correct,6
JEREMY,*ERE**,1,0,incomplete,6
PROGRAMMING,PROGRAMMING,1,1,correct,11
EXCESS,E**ESS,1,0,incomplete,6
ROUGH,RO***,1,0,incomplete,5
METHODOLOGY,*ET*O*O*O**,1,0,incomplete,11
CALCULATOR,CALC*LATOR,1,0,incomplete,10
APRIL,A*R*L,1,0,incomplete,5
FACES,*ACES,1,0,incomplete,5
MANGA,*AN*A,1,0,incomplete,5
ORDINANCE,ORDINANCE,1,1,correct,9
SECRETARIAT,*ECRETARIAT,1,0,incomplete,11
PARTICLE,PARTICLE,1,1,correct,8
JUSTIFY,**STI**,1,0,incomplete,7
INFRASTRUCTURE,INFRASTRUCTURE,1,1,correct,14
SCENIC,SCENIC,1,1,correct,6
COLLECTABLES,COLLECTABLES,1,1,correct,12
NOVELTY,NO*E*T*,1,0,incomplete,7
COMMONLY,*****N**,1,0,incomplete,8
WORKERS,*OR*ERS,1,0,incomplete,7
BEASTIALITY,BEASTIALITY,1,1,correct,11
HYDROGEN,***ROGEN,1,0,incomplete,8
SUNRISE,SUNRISE,1,1,correct,7
EFFICIENCY,E**ICIENC*,1,0,incomplete,10
CAREY,CARE*,1,0,incomplete,5
HEARING,HEARING,1,1,correct,7
PLUMBING,*****ING,1,0,incomplete,8
GEOGRAPHIC,GEOGRAPHIC,1,1,correct,10
NELSON,NELSON,1,1,correct,6
HISPANIC,*I**ANIC,1,0,incomplete,8
THREESOME,T*REESOME,1,0,incomplete,9
RWANDA,RWANDA,1,1,correct,6
METRO,*ETRO,1,0,incomplete,5
EQUIPPED,E**I**ED,1,0,incomplete,8
SATISFACTORY,SATISFACTORY,1,1,correct,12
ENDED,EN*E*,1,0,incomplete,5
VISUAL,VISUAL,1,1,correct,6
ISLANDS,ISLANDS,1,1,correct,7
SMILE,SMILE,1,1,correct,5
EFFECT,E**E*T,1,0,incomplete,6
TRANSLATION,TRANSLATION,1,1,correct,11
WICKED,****E*,1,0,incomplete,6
TRUTH,TR*TH,1,0,incomplete,5
ENTER,ENTER,1,1,correct,5
RESOLVE,RESO**E,1,0,incomplete,7
RUBBER,R***ER,1,0,incomplete,6
PHOTO,*HOTO,1,0,incomplete,5
MOTEL,*O*EL,1,0,incomplete,5
CRASH,CRAS*,1,0,incomplete,5
PANASONIC,PANASONIC,1,1,correct,9
MINOR,***OR,1,0,incomplete,5
THOMAS,T***AS,1,0,incomplete,6
HEALTHCARE,HEALTHCARE,1,1,correct,10
COLLEGES,*O**E*ES,1,0,incomplete,8
TOMATO,T**AT*,1,0,incomplete,6
RATIONAL,RATIONAL,1,1,correct,8
FLOORS,**OORS,1,0,incomplete,6
WEEKEND,*EE*END,1,0,incomplete,7
EXTREMELY,E*TRE*E**,1,0,incomplete,9
EVERYWHERE,E*ER***ERE,1,0,incomplete,10
ROUTINES,ROUTINES,1,1,correct,8
FAVOUR,*A***R,1,0,incomplete,6
DRUNK,*R***,1,0,incomplete,5
CONSOLE,CONSOLE,1,1,correct,7
SCHOOL,SC*OOL,1,0,incomplete,6
EXPOSED,EXPOSED,1,1,correct,7
WAIVER,*A**ER,1,0,incomplete,6
INTENSE,INTENSE,1,1,correct,7
FRONT,*RO*T,1,0,incomplete,5
RECEPTOR,RECEPTOR,1,1,correct,8
FINDING,*IN*ING,1,0,incomplete,7
INTERIM,INTERI*,1,0,incomplete,7
TRANSCRIPTION,TRANSCRIPTION,1,1,correct,13
ESTIMATED,ESTI*ATED,1,0,incomplete,9
CONFIDENTIALITY,CONFIDENTIALITY,1,1,correct,15
ATTACHED,ATTAC*ED,1,0,incomplete,8
SUCCESSFUL,S***ESS***,1,0,incomplete,10
MOMENT,***ENT,1,0,incomplete,6
VEGETABLES,*E*ETA**ES,1,0,incomplete,10
SCIENTISTS,SCIENTISTS,1,1,correct,10
LEADERS,LEADERS,1,1,correct,7
NORWEGIAN,NORWEGIAN,1,1,correct,9
PORTS,PORTS,1,1,correct,5
SURPRISING,SURPRISING,1,1,correct,10
TERRAIN,TERRAIN,1,1,correct,7
PROJECTORS,*RO*ECTORS,1,0,incomplete,10
CASSETTE,*ASSETTE,1,0,incomplete,8
VALLEY,*ALLE*,1,0,incomplete,6
PARTNERSHIPS,PARTNERSHIPS,1,1,correct,12
INTEGER,INTE*ER,1,0,incomplete,7
SUPER,SUPER,1,1,correct,5
TERMS,TERMS,1,1,correct,5
ALLOWS,ALL**S,1,0,incomplete,6
LAUDERDALE,*A**ER*A*E,1,0,incomplete,10
NEAREST,NEAREST,1,1,correct,7
RIGHTS,RIGHTS,1,1,correct,6
UNEMPLOYMENT,*NEMPLO*MENT,1,0,incomplete,12
IMPLEMENTED,I*PLE*ENTE*,1,0,incomplete,11
POSSIBLE,POSSI*LE,1,0,incomplete,8
VIEWING,*IE*ING,1,0,incomplete,7
SYMPTOMS,S***TO*S,1,0,incomplete,8
CYLINDER,CYLINDER,1,1,correct,8
LOWER,*OWER,1,0,incomplete,5
PRACTITIONER,PRACTITIONER,1,1,correct,12
LONELY,L*NEL*,1,0,incomplete,6
FOLKS,*OL*S,1,0,incomplete,5
PRIVATE,*RIVATE,1,0,incomplete,7
VILLAGE,*ILLAGE,1,0,incomplete,7
ROBOTS,RO*OTS,1,0,incomplete,6
COLEMAN,**LE*AN,1,0,incomplete,7
RENTALS,RENTALS,1,1,correct,7
UNDERGROUND,UNDERGROUND,1,1,correct,11
AFFILIATE,A**ILIATE,1,0,incomplete,9
PONTIAC,PONTIAC,1,1,correct,7
INVESTORS,INVESTORS,1,1,correct,9
PRISONER,PRISONER,1,1,correct,8
RECOMMENDED,RECO**ENDED,1,0,incomplete,11
SPINE,SPINE,1,1,correct,5
TECHNOLOGIES,TEC*NOLO*IES,1,0,incomplete,12
SELECT,SELE*T,1,0,incomplete,6
HAZARDOUS,*A*AR*O*S,1,0,incomplete,9
NEGATIVE,NEGATIVE,1,1,correct,8
CINEMA,**NE*A,1,0,incomplete,6
SLOVAK,SL**A*,1,0,incomplete,6
GEORGIA,GE*RGIA,1,0,incomplete,7
EXPLICITLY,E***ICIT**,1,0,incomplete,10
EQUATION,EQUATION,1,1,correct,8
MOSTLY,*OST**,1,0,incomplete,6
SPEND,S*E**,1,0,incomplete,5
VIEWER,**E*ER,1,0,incomplete,6
OCEAN,**EAN,1,0,incomplete,5
MOBILE,****LE,1,0,incomplete,6
POLITICIANS,POLITICIANS,1,1,correct,11
PERMISSION,PERMISSION,1,1,correct,10
SANDRA,SANDRA,1,1,correct,6
ECOLOGY,E******,1,0,incomplete,7
SACRED,SA*RED,1,0,incomplete,6
CAPACITY,CA*ACIT*,1,0,incomplete,8
CONNECTIVITY,CONNECTIVIT*,1,0,incomplete,12
SYNTHETIC,SYNTHETIC,1,1,correct,9
SHUTTLE,S**TT*E,1,0,incomplete,7
PLAYBOY,**A****,1,0,incomplete,7
KELLY,*ELL*,1,0,incomplete,5
INTER,I*TER,1,0,incomplete,5
ERRORS,ERRORS,1,1,correct,6
BARCELONA,*ARCELONA,1,0,incomplete,9
DRIVES,DRIVES,1,1,correct,6
SPECIALIZED,SPECIALIZED,1,1,correct,11
TRANSFERS,TRANS*ERS,1,0,incomplete,9
POCKETS,POCKETS,1,1,correct,7
ISLAMIC,ISLAMIC,1,1,correct,7
MATCHING,MATCHING,1,1,correct,8
SWIMMING,S*I**ING,1,0,incomplete,8
ENCLOSED,ENCLOSED,1,1,correct,8
THEREAFTER,T*EREA*TER,1,0,incomplete,10
EXTRACTION,EXTRACTION,1,1,correct,10
ROOMS,ROO*S,1,0,incomplete,5
WOMENS,*O*ENS,1,0,incomplete,6
LOCATOR,LOCATOR,1,1,correct,7
SEPTEMBER,SEPTE**ER,1,0,incomplete,9
CRAFTS,CRAFTS,1,1,correct,6
FEATURED,*EAT*RE*,1,0,incomplete,8
BURNS,****S,1,0,incomplete,5
BEACHES,BEACHES,1,1,correct,7
DEUTSCH,*E*TSCH,1,0,incomplete,7
TIRED,TIRED,1,1,correct,5
DISORDERS,*ISOR*ERS,1,0,incomplete,9
TABLETS,TABLETS,1,1,correct,7
PUZZLES,*****ES,1,0,incomplete,7
TURTLE,TURTLE,1,1,correct,6
DIVERSITY,*I*ERSIT*,1,0,incomplete,9
ESCORT,ESCORT,1,1,correct,6
NOKIA,N**IA,1,0,incomplete,5
DIVIDEND,DI*IDEND,1,0,incomplete,8
VICTIM,*ICTI*,1,0,incomplete,6
PARTICIPANTS,PARTICIPANTS,1,1,correct,12
UNDERSTOOD,UNDERSTOOD,1,1,correct,10
THERE,THERE,1,1,correct,5
SUBMITTED,S***ITTE*,1,0,incomplete,9
YOURS,*O*RS,1,0,incomplete,5
EFFECTIVELY,E**ECTI*E**,1,0,incomplete,11
TEXTBOOK,TE*T*OO*,1,0,incomplete,8
REQUESTED,RE**ESTE*,1,0,incomplete,9
BUYING,***ING,1,0,incomplete,6
PAYDAY,*A**A*,1,0,incomplete,6
LICKING,LICKING,1,1,correct,7
STORY,STORY,1,1,correct,5
CONTROLLERS,CONTROLLERS,1,1,correct,11
CHARGERS,CHAR*ERS,1,0,incomplete,8
DECEMBER,*E*E**ER,1,0,incomplete,8
REVEAL,RE*EAL,1,0,incomplete,6
STABILITY,STA*ILIT*,1,0,incomplete,9
BRAKES,*RA*ES,1,0,incomplete,6
VARIOUS,*ARI***,1,0,incomplete,7
TRADITIONS,TRADITIONS,1,1,correct,10
FAILING,*AILING,1,0,incomplete,7
KNOCK,*NO**,1,0,incomplete,5
ARMSTRONG,ARMSTRONG,1,1,correct,9
PRODUCES,PRODUCES,1,1,correct,8
FIFTH,*****,1,0,incomplete,5
NEWARK,NEWARK,1,1,correct,6
TEMPERATURES,TE**ERAT*RES,1,0,incomplete,12
OPERA,**ERA,1,0,incomplete,5
SMITHSONIAN,S*IT*SONIAN,1,0,incomplete,11
MERGER,*ER*ER,1,0,incomplete,6
SHIPS,S*I*S,1,0,incomplete,5
ALBANIA,AL*ANIA,1,0,incomplete,7
HEARTS,HEARTS,1,1,correct,6
LIVECAM,LIVECAM,1,1,correct,7
RECIPIENT,RECIPIENT,1,1,correct,9
WAREHOUSE,*ARE*O*SE,1,0,incomplete,9
ANIMAL,ANIMAL,1,1,correct,6
PRACTITIONERS,PRACTITIONERS,1,1,correct,13
MALAWI,*ALA*I,1,0,incomplete,6
GLOBE,*LO*E,1,0,incomplete,5
PERHAPS,PER*APS,1,0,incomplete,7
FLESH,FLESH,1,1,correct,5
ORBIT,OR**T,1,0,incomplete,5
PENETRATION,PENETRATION,1,1,correct,11
TESTIMONY,TESTIMONY,1,1,correct,9
HOLLOW,******,1,0,incomplete,6
FASHION,*AS*ION,1,0,incomplete,7
UNLOCK,******,1,0,incomplete,6
ATMOSPHERIC,ATMOSPHERIC,1,1,correct,11
HOUSEWIVES,*O*SE*I*ES,1,0,incomplete,10
TECHNOLOGY,TEC*NOLO**,1,0,incomplete,10
ASSISTANT,ASSISTANT,1,1,correct,9
DYLAN,**LAN,1,0,incomplete,5
CATALOG,CATALO*,1,0,incomplete,7
SUPERVISORS,SUPERVISORS,1,1,correct,11
MAINE,MAINE,1,1,correct,5
RECOGNIZE,RECOGNI*E,1,0,incomplete,9
ENHANCED,EN*ANCED,1,0,incomplete,8
VARYING,*AR*ING,1,0,incomplete,7
TERMINALS,TERMINALS,1,1,correct,9
SHIPMENT,SHIPMENT,1,1,correct,8
MIXER,MIXER,1,1,correct,5
ZEALAND,*EALAND,1,0,incomplete,7
TOMMY,TO***,1,0,incomplete,5
COMMITTEE,CO**ITTEE,1,0,incomplete,9
FARMER,*AR*ER,1,0,incomplete,6
EXCELLENT,E*CE**ENT,1,0,incomplete,9
LADIES,LA*IES,1,0,incomplete,6
CONTROVERSY,CONTRO*ERS*,1,0,incomplete,11
REFERENCES,RE*ERENCES,1,0,incomplete,10
ROUGHLY,RO*****,1,0,incomplete,7
PURSUE,*URSUE,1,0,incomplete,6
HUNGARIAN,**NGARIAN,1,0,incomplete,9
RANGING,RANGING,1,1,correct,7
NORFOLK,NOR*O**,1,0,incomplete,7
BUTLER,BUTLER,1,1,correct,6
INDEXES,INDE*ES,1,0,incomplete,7
HAWAII,*A*A**,1,0,incomplete,6
SALEM,SALEM,1,1,correct,5
PEARL,*EARL,1,0,incomplete,5
ASSESSED,ASSESSE*,1,0,incomplete,8
RELAXATION,RELAXATION,1,1,correct,10
COLLECTORS,COLLECTORS,1,1,correct,10
POCKET,****ET,1,0,incomplete,6
ROSTER,ROSTER,1,1,correct,6
STYLE,STYLE,1,1,correct,5
PREDICT,PREDICT,1,1,correct,7
RECOVERY,RE*O*ER*,1,0,incomplete,8
CONDUCTED,CONDUCTED,1,1,correct,9
UNIPROTKB,UNIPROTKB,1,1,correct,9
CALLED,CALLED,1,1,correct,6
WIRING,*IRING,1,0,incomplete,6
LITERALLY,LITERALL*,1,0,incomplete,9
SOCKET,SO**ET,1,0,incomplete,6
EVERYONE,E*ER*ONE,1,0,incomplete,8
ENVIRONMENTS,ENVIRONMENTS,1,1,correct,12
GOVERNMENT,*O*ERN*ENT,1,0,incomplete,10
SPOKESMAN,S***ES*AN,1,0,incomplete,9
DEFENCE,DE*EN*E,1,0,incomplete,7
TOOLBAR,TOOLBAR,1,1,correct,7
LOCALLY,***A***,1,0,incomplete,7
COMPARISONS,COMPARISONS,1,1,correct,11
NERVE,*ER*E,1,0,incomplete,5
EUROPE,E*RO*E,1,0,incomplete,6
AMENDED,A*ENDED,1,0,incomplete,7
VAULT,VAULT,1,1,correct,5
BASEMENT,BASEMENT,1,1,correct,8
ENDLESS,ENDLESS,1,1,correct,7
PHOENIX,***ENI*,1,0,incomplete,7
ELIGIBILITY,E*I*I*I*IT*,1,0,incomplete,11
SERBIA,SERBIA,1,1,correct,6
FAILURE,*AIL*RE,1,0,incomplete,7
POULTRY,PO**TR*,1,0,incomplete,7
SIMPLY,SI**L*,1,0,incomplete,6
REBEL,RE*E*,1,0,incomplete,5
CARRIER,CARRIER,1,1,correct,7
ORIENTAL,ORIENTAL,1,1,correct,8
RANDY,RA*D*,1,0,incomplete,5
MACRO,MACRO,1,1,correct,5
RATIOS,RATIOS,1,1,correct,6
DISCOVERY,DISCOVERY,1,1,correct,9
MINISTER,MINISTER,1,1,correct,8
CHALLENGED,C*ALLEN*E*,1,0,incomplete,10
EXPENDITURE,E*PEN*IT*RE,1,0,incomplete,11
DISTANCES,DISTANCES,1,1,correct,9
PROCEEDINGS,PROCEEDINGS,1,1,correct,11
ZAMBIA,*A***A,1,0,incomplete,6
SCANNED,SCANNED,1,1,correct,7
EPINIONS,E*INIONS,1,0,incomplete,8
FILING,*I*ING,1,0,incomplete,6
FABRICS,FABRICS,1,1,correct,7
HOLDINGS,*O**IN*S,1,0,incomplete,8
SALVADOR,SA**A*OR,1,0,incomplete,8
COUNTY,*O*NT*,1,0,incomplete,6
HORSES,*ORSES,1,0,incomplete,6
ANGELA,AN*ELA,1,0,incomplete,6
CANDLE,CANDLE,1,1,correct,6
ADVOCACY,A****A**,1,0,incomplete,8
MODEMS,*O*E*S,1,0,incomplete,6
COUPONS,CO**ONS,1,0,incomplete,7
PERFORMANCES,*ER*OR*ANCES,1,0,incomplete,12
PRESENTED,*RESENTE*,1,0,incomplete,9
DEVOTED,*E**TE*,1,0,incomplete,7
SHANGHAI,SHANGHAI,1,1,correct,8
INSTRUMENTAL,INSTR**ENTAL,1,0,incomplete,12
NUMERICAL,N**ERICAL,1,0,incomplete,9
STATE,STATE,1,1,correct,5
GROUPS,GROUPS,1,1,correct,6
WESTMINSTER,*EST*INSTER,1,0,incomplete,11
DEALERS,DEALERS,1,1,correct,7
JUDGE,****E,1,0,incomplete,5
DETECT,*ETE*T,1,0,incomplete,6
SNAPSHOT,SNA*S*OT,1,0,incomplete,8
GROWTH,GROWTH,1,1,correct,6
CUSTOM,**STO*,1,0,incomplete,6
WINNERS,*INNERS,1,0,incomplete,7
EXTENDING,E*TEN*ING,1,0,incomplete,9
PACKAGING,PAC*A*IN*,1,0,incomplete,9
SATIN,SATIN,1,1,correct,5
DISCRIMINATION,DISCRIMINATION,1,1,correct,14
DISCOVER,DISCOVER,1,1,correct,8
IMMEDIATELY,I**E*IATEL*,1,0,incomplete,11
MADAGASCAR,*A*A*ASCAR,1,0,incomplete,10
JEFFREY,*E**RE*,1,0,incomplete,7
PRESERVE,*RESER*E,1,0,incomplete,8
KINGSTON,*IN*STON,1,0,incomplete,8
GENERAL,*ENERAL,1,0,incomplete,7
BIOTECHNOLOGY,BIOTECHNOLOGY,1,1,correct,13
COMEDY,***E**,1,0,incomplete,6
RETRO,RETRO,1,1,correct,5
CIGARETTES,CIGARETTES,1,1,correct,10
TRANNY,TRANN*,1,0,incomplete,6
ROUGE,RO**E,1,0,incomplete,5
CENTERED,CENTERED,1,1,correct,8
SUNNY,S****,1,0,incomplete,5
DRINKING,*RIN*ING,1,0,incomplete,8
PUSHING,**S*ING,1,0,incomplete,7
CREATURE,CREAT*RE,1,0,incomplete,8
SHAFT,SHA*T,1,0,incomplete,5
CIRCULAR,CIRCULAR,1,1,correct,8
NOTIFIED,NOTIFIED,1,1,correct,8
TEXTS,TE*TS,1,0,incomplete,5
EXPERIMENTS,E*PERI*ENTS,1,0,incomplete,11
NOBODY,******,1,0,incomplete,6
LESBIANS,LESBIANS,1,1,correct,8
SOMALIA,S*MALIA,1,0,incomplete,7
MIDDLE,*IDDLE,1,0,incomplete,6
GRIFFIN,GRI**IN,1,0,incomplete,7
GARAGE,*ARA*E,1,0,incomplete,6
EXEMPT,E*E**T,1,0,incomplete,6
DISCLOSE,DISC*OSE,1,0,incomplete,8
SLOVENIA,SLOVENIA,1,1,correct,8
GENETIC,GENETIC,1,1,correct,7
SUSPECT,S*S*ECT,1,0,incomplete,7
FRAMEWORK,*RA*E**R*,1,0,incomplete,9
DEVELOPMENTAL,DEVELOPMENTAL,1,1,correct,13
LEADERSHIP,LEADERSHIP,1,1,correct,10
ANYONE,AN**NE,1,0,incomplete,6
COMFORTABLE,COMFORTABLE,1,1,correct,11
GEOGRAPHICAL,GEOGRAPHICAL,1,1,correct,12
BLANKET,*LAN*ET,1,0,incomplete,7
ADVANCED,AD*ANCED,1,0,incomplete,8
BLESS,*LESS,1,0,incomplete,5
SPORTS,SPORTS,1,1,correct,6
HEARINGS,HEARINGS,1,1,correct,8
CONTRARY,CONTRARY,1,1,correct,8
ENGINEERS,ENGINEERS,1,1,correct,9
OCCUPATIONS,OCCUPATIONS,1,1,correct,11
HEADQUARTERS,*EAD**ARTERS,1,0,incomplete,12
USERS,USERS,1,1,correct,5
HORIZON,*ORI*ON,1,0,incomplete,7
INVESTIGATE,INVESTIGATE,1,1,correct,11
UPDATING,***ATING,1,0,incomplete,8
CONGO,*ON*O,1,0,incomplete,5
